severity,code,record_type,record_id,record_ref,stage,owner,retry_status,message
high,record_held_from_load,variant,6623,woo:6623,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6624,woo:6624,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6625,woo:6625,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6626,woo:6626,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6627,woo:6627,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6628,woo:6628,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6629,woo:6629,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6630,woo:6630,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6631,woo:6631,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6632,woo:6632,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6633,woo:6633,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6634,woo:6634,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6719,woo:6719,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6720,woo:6720,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6721,woo:6721,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6722,woo:6722,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6723,woo:6723,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6724,woo:6724,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6725,woo:6725,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6726,woo:6726,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6727,woo:6727,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6728,woo:6728,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6729,woo:6729,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6730,woo:6730,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6731,woo:6731,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6732,woo:6732,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6733,woo:6733,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6734,woo:6734,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6735,woo:6735,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6736,woo:6736,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6737,woo:6737,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6738,woo:6738,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6739,woo:6739,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6740,woo:6740,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6741,woo:6741,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6742,woo:6742,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6743,woo:6743,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6744,woo:6744,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6745,woo:6745,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6746,woo:6746,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6747,woo:6747,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6749,woo:6749,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6750,woo:6750,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6751,woo:6751,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
high,record_held_from_load,variant,6752,woo:6752,load,purpl,needs-decision,record has an unresolved blocking exception and was not loaded
